"streetAddress","zipcode","description","latitude","longitude","propertyTaxRate","garageSpaces","hasAssociation","hasGarage","hasSpa","hasView","homeType","yearBuilt","latestPrice","latest_saledate","latest_salemonth","latest_saleyear","numOfPhotos","numOfAccessibilityFeatures","numOfAppliances","numOfParkingFeatures","numOfPatioAndPorchFeatures","numOfSecurityFeatures","numOfWaterfrontFeatures","numOfWindowFeatures","numOfCommunityFeatures","lotSizeSqFt","livingAreaSqFt","avgSchoolDistance","avgSchoolRating","avgSchoolSize","MedianStudentsPerTeacher","numOfBathrooms","numOfBedrooms","numOfStories"
"10505 Cannon Mark Way","78717","*PLEASE SEE THE WALKTHROUGH VIRTUAL TOUR*This 2015 Built DREES Home has Everything You Would Want with 5 Bedrooms that all have their own Bathroom and Walk-In Closet, 5.5 Bathrooms, Media Room, Game Room, Office, Frameless Shower, Wood Floors, Granite Counter Tops, 3 Car Garage with Epoxy Flooring, Quarter Acre Lot with Tall Shade Trees for the Kids to Play, or add a Pool, East Facing Covered Patio to Keep You Shaded in the Evening, Water Softener, Touch Screen Alarm System, Upgraded Lighting, Custom Paint & Walk-In Attic Designed for Storage.",30.4864082336426,-97.7947235107422,2.21,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2014,687.85,2018-08-28,"8",2018,40,"0",4,2,0,0,0,0,0,10672,4564,3.26666666666667,7.66666666666667,1259,14,6,5,2
"15524 Staked Plains Loop","78717","Rare opportunity in this high demand area of Avery Ranch! 5 Bedrooms, 4 Full Baths all on a coveted corner lot. Desirable layout includes 2 living areas, formal dining, large kitchen open to the living room, stainless appliance package, game room and additional bedroom upstairs! The hidden gem is the second living area that is well placed between two of the bedrooms, perfect for multigenerational families. Covered back patio and several varieties of mature fruit tress! Come and see it.",30.4943752288818,-97.796516418457,2.21,2,"TRUE","TRUE","FALSE","TRUE","Single Family",2007,409,2018-12-03,"12",2018,31,"0",6,3,0,0,0,0,0,9060,3233,1.93333333333333,8.33333333333333,1481,16,4,5,2
"15217 Sabal Palm Rd","78724","Charming Home boasting 3 bedrooms and 2 baths. This home sits on a sizable corner lot and is almost ready for move in.",30.2557067871094,-97.5769577026367,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",2006,199,2020-12-22,"12",2020,21,"1",2,2,1,0,0,0,0,7448,1511,2.43333333333333,2.66666666666667,1478,13,2,3,1
"14004 Chisos Trl","78717","COVETED, SPACIOUS 3 bed + OFFICE, 1story MIL Plan w/HUGE guest room on other side of home adjacent to full bath & 3rd bedroom that can be another living space or adult bedroom! GORGEOUS open plan features formal DR, GREAT ROOM w/fireplace overlooks the PERFECT SIZE backyard & TRIPLE LENGTH, XTRA DEEP COVERED PATIO. Spacious kitchen w/ Xtra-long serving bar, granite, stainless appliances, walk-in pantry & breakfast nook w/bay window. Office features wood floors & 11' ceiling! Walking distance to Trailhead!",30.4956378936768,-97.7978744506836,2.21,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2008,400,2020-01-10,"1",2020,20,"0",3,2,0,0,0,0,0,7666,2228,1.9,8.33333333333333,1481,16,2,3,1
"14702 Menifee St","78725","Fridge, washer, dryer, wall tv mounts do not convey",30.233154296875,-97.5873184204102,1.98,2,"FALSE","TRUE","FALSE","FALSE","Single Family",1999,240,2020-12-31,"12",2020,10,"0",4,2,2,0,0,0,0,5183,1534,1.8,3,1457,13,3,3,1
"15303 Lucian St","78725","15303 Lucian St, Austin, TX 78725 is a single family home that contains 1,738 sq ft and was built in 2013. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $284,728. The Rent Zestimate for this home is $1,650/mo.",30.2380657196045,-97.5780181884766,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2013,249.9,2020-12-04,"12",2020,35,"1",3,2,1,1,0,0,0,7405,1738,1.96666666666667,3,1457,13,2,3,1
"15207 Lucian St","78725","Don't miss this opportunity to find a great home on one of the larger lots in this neighborhood.  One a quiet cul-de-sac this home has great curb appeal and an open floor plan that is perfect for entertaining or family gatherings.  The kitchen, dining and family provide a warm and large space.  The French doors off of the breakfast area lead to a large backyard that is perfect for taking the party outdoors.",30.2382373809814,-97.5783309936523,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2012,200,2018-01-30,"1",2018,33,"0",5,2,0,0,0,0,0,8145,1652,1.96666666666667,3,1457,13,2,3,1
"12525 Verandah Ct","78726","Welcome to the Estates of Grandview Hills.  This elegant custom home is located on a cul-de-sac lot with views of the Texas Hill Country.  The home features a private backyard with a resort style pool, pergola covered outdoor kitchen and custom stone fire pit.  Automatic sun shades cover the back patio for relief from the Texas sun.  Inside you'll find beautiful wide plank hardwood floors and custom wood shutters throughout.  You'll love entertaining in the fabulous remodeled kitchen which features extensive white quartz countertops, tons of cabinet space, stainless farmhouse sink, wine fridge, gas cook-top and a Bosch dishwasher.  Upstairs you will find a large media/gameroom with wetbar and built-in cabinets, copper sink, and stone countertop. Two other dedicated bedrooms upstairs and a large flex room that can be so many things from a 4th bedroom (windows are fixed), 2nd office or dedicated home school room!  Located close to shopping and restaurants. Leander ISD feeding into Vandegrift High School.",30.426456451416,-97.8592910766602,1.98,2,"TRUE","TRUE","FALSE","TRUE","Single Family",2004,875,2020-11-09,"11",2020,38,"0",8,2,4,1,0,0,0,30056.4,3402,2.06666666666667,7,1277,16,4,4,2
"5509 Bonneville Bnd","78744","5509 Bonneville Bnd, Austin, TX 78744 is a single family home that contains 1,634 sq ft and was built in 2016. It contains 3 bedrooms and 2 bathrooms. 
 
The Zestimate for this house is $339,612. The Rent Zestimate for this home is $2,000/mo.",30.1761455535889,-97.6981430053711,1.98,2,"TRUE","TRUE","FALSE","FALSE","Single Family",2016,287.5,2019-04-18,"4",2019,40,"0",4,2,0,0,0,0,0,6141,1634,2.9,3.66666666666667,1532,12,2,3,1
"4606 Belfield Ln","78725","Awesome opportunity to own a 3 bedroom, 2 bathroom, almost new home in Austin's Colony. Great floorplan with kitchen wide open to the living room. Private rear yard. Easy access to Toll 130, only 15 minutes to downtown Austin. Contact your agent to schedule a showing ASAP as this home is priced to sell quickly.",30.2417678833008,-97.5790557861328,1.98,0,"TRUE","FALSE","FALSE","FALSE","Single Family",2015,196,2019-01-10,"1",2019,29,"0",7,1,0,0,0,0,0,5532,1399,1.93333333333333,3,1457,13,2,3,1
